Compound,Model ID,Energy,nRot
CHEMBL1454040,1,-10.6,5
CHEMBL496072,1,-10.6,7
CHEMBL1581197,1,-10.6,4
CHEMBL4090186,1,-10.6,3
CHEMBL1604406,1,-10.6,7
CHEMBL462996,1,-10.6,10
CHEMBL1976157,1,-10.6,11
CHEMBL1715881,1,-10.6,6
CHEMBL3322343,1,-10.6,5
CHEMBL430359,1,-10.6,10
CHEMBL227711,1,-10.6,9
CHEMBL3648646,1,-10.6,9
CHEMBL355815,1,-10.6,17
CHEMBL458336,1,-10.6,4
CHEMBL2011795,1,-10.6,5
CHEMBL1790510,1,-10.6,19
CHEMBL3793756,1,-10.6,9
CHEMBL1817740,1,-10.6,18
CHEMBL1761085,1,-10.6,10
CHEMBL1397367,1,-10.6,4
CHEMBL240954,1,-10.6,7
CHEMBL491980,1,-10.6,2
CHEMBL1967033,1,-10.6,4
CHEMBL497293,1,-10.6,7
CHEMBL115,1,-10.5,12
CHEMBL1329158,1,-10.5,7
CHEMBL412861,1,-10.5,18
CHEMBL348097,1,-10.5,5
CHEMBL1075911,1,-10.5,13
CHEMBL1077226,1,-10.5,7
CHEMBL1076763,1,-10.5,14
CHEMBL398502,1,-10.5,4
CHEMBL1939431,1,-10.5,5
CHEMBL2436931,1,-10.5,3
CHEMBL1922997,1,-10.5,5
CHEMBL1198714,1,-10.5,7
CHEMBL501914,1,-10.5,10
CHEMBL1172006,1,-10.5,2
CHEMBL575783,1,-10.5,2
CHEMBL1441712,1,-10.5,6
CHEMBL174778,1,-10.5,10
CHEMBL2296592,1,-10.5,6
CHEMBL4090717,1,-10.5,6
CHEMBL3679960,1,-10.5,15
CHEMBL1863546,1,-10.5,7
CHEMBL3913678,1,-10.5,9
