Compound,Model ID,Energy,nRot
CHEMBL3814469,1,-12.0,8
CHEMBL2106222,1,-12.0,5
CHEMBL449158,1,-12.0,17
CHEMBL353928,1,-12.0,10
CHEMBL1817748,1,-12.0,18
CHEMBL3527152,1,-12.0,8
CHEMBL1774293,1,-12.0,8
CHEMBL1970422,1,-12.0,6
CHEMBL438870,1,-12.0,4
CHEMBL2035855,1,-12.0,15
CHEMBL200205,1,-12.0,5
CHEMBL3248004,1,-12.0,8
CHEMBL1682607,1,-12.0,14
CHEMBL264409,1,-12.0,8
CHEMBL318062,1,-12.0,10
CHEMBL56860,1,-12.0,7
CHEMBL1682583,1,-11.9,14
CHEMBL2048826,1,-11.9,14
CHEMBL2374643,1,-11.9,7
CHEMBL266514,1,-11.9,10
CHEMBL289616,1,-11.9,11
CHEMBL1797059,1,-11.9,14
CHEMBL1645589,1,-11.9,11
CHEMBL1774624,1,-11.9,11
CHEMBL474680,1,-11.9,6
CHEMBL305667,1,-11.9,8
CHEMBL1214875,1,-11.9,15
CHEMBL2022407,1,-11.9,3
CHEMBL418079,1,-11.9,14
CHEMBL449947,1,-11.9,13
CHEMBL2022410,1,-11.9,3
CHEMBL4072389,1,-11.9,1
CHEMBL557931,1,-11.9,8
CHEMBL3215486,1,-11.9,13
CHEMBL258394,1,-11.9,7
CHEMBL1778419,1,-11.9,9
CHEMBL1209497,1,-11.9,15
CHEMBL3104954,1,-11.9,2
CHEMBL1209492,1,-11.9,13
CHEMBL453191,1,-11.9,6
CHEMBL3278533,1,-11.9,6
CHEMBL3334720,1,-11.9,1
CHEMBL1451695,1,-11.9,7
CHEMBL2159135,1,-11.9,9
CHEMBL1682718,1,-11.9,14
CHEMBL205360,1,-11.9,12
CHEMBL2263318,1,-11.9,9
CHEMBL226985,1,-11.9,4
